model,task,cv_type,eval_set,sensor_config,num_seconds,fold,doctor_trials,f1,precision,recall,accuracy,Lump_f1,Lump_precision,Lump_recall,Lump_acc,Size_f1,Size_precision,Size_recall,Size_acc,Position_f1,Position_precision,Position_recall,Position_acc,combined_f1,combined_precision,combined_recall,combined_accuracy
inceptiontime,lump_binary,group,val,tips_middle,1,2,6,0.6409060626249167,0.52,0.8350694444444444,0.5321180555555556,,,,,,,,,,,,,0.6409060626249167,0.52,0.8350694444444444,0.5321180555555556
inceptiontime,lump_binary,group,val,tips_middle,1,3,6,0.7897623400365631,0.833976833976834,0.75,0.8003472222222222,,,,,,,,,,,,,0.7897623400365631,0.833976833976834,0.75,0.8003472222222222
inceptiontime,lump_binary,group,val,tips_middle,1,4,6,0.7228714524207012,0.6961414790996785,0.7517361111111112,0.7118055555555556,,,,,,,,,,,,,0.7228714524207012,0.6961414790996785,0.7517361111111112,0.7118055555555556
inceptiontime,lump_binary,group,val,tips_middle,1,0,7,0.7459535538353272,0.6272189349112426,0.9201388888888888,0.6866319444444444,,,,,,,,,,,,,0.7459535538353272,0.6272189349112426,0.9201388888888888,0.6866319444444444
inceptiontime,lump_binary,group,val,tips_middle,1,1,7,0.7224913494809688,0.6895640686922061,0.7587209302325582,0.7016369047619048,,,,,,,,,,,,,0.7224913494809688,0.6895640686922061,0.7587209302325582,0.7016369047619048
inceptiontime,lump_binary,group,val,tips_middle,1,2,7,0.7277310924369748,0.7052117263843648,0.7517361111111112,0.71875,,,,,,,,,,,,,0.7277310924369748,0.7052117263843648,0.7517361111111112,0.71875
inceptiontime,lump_binary,group,val,tips_middle,1,3,7,0.7025683512841756,0.6719492868462758,0.7361111111111112,0.6883680555555556,,,,,,,,,,,,,0.7025683512841756,0.6719492868462758,0.7361111111111112,0.6883680555555556
inceptiontime,lump_binary,group,val,tips_middle,1,4,7,0.7307692307692307,0.6365979381443299,0.8576388888888888,0.6840277777777778,,,,,,,,,,,,,0.7307692307692307,0.6365979381443299,0.8576388888888888,0.6840277777777778
inceptiontime,lump_binary,group,val,tips_middle,1,0,8,0.7620459599703484,0.6649417852522639,0.8923611111111112,0.7213541666666666,,,,,,,,,,,,,0.7620459599703484,0.6649417852522639,0.8923611111111112,0.7213541666666666
inceptiontime,lump_binary,group,val,tips_middle,1,1,8,0.7478025693035835,0.7135483870967742,0.7855113636363636,0.725735294117647,,,,,,,,,,,,,0.7478025693035835,0.7135483870967742,0.7855113636363636,0.725735294117647
inceptiontime,lump_binary,group,val,tips_middle,1,2,8,0.739374498797113,0.6870342771982116,0.8003472222222222,0.7178819444444444,,,,,,,,,,,,,0.739374498797113,0.6870342771982116,0.8003472222222222,0.7178819444444444
inceptiontime,lump_binary,group,val,tips_middle,1,3,8,0.7387529597474349,0.6772793053545586,0.8125,0.7126736111111112,,,,,,,,,,,,,0.7387529597474349,0.6772793053545586,0.8125,0.7126736111111112
inceptiontime,lump_binary,group,val,tips_middle,1,4,8,0.6671575846833578,0.5792838874680307,0.7864583333333334,0.6076388888888888,,,,,,,,,,,,,0.6671575846833578,0.5792838874680307,0.7864583333333334,0.6076388888888888
inceptiontime,lump_binary,group,val,tips_middle,1,0,9,0.7187263078089462,0.6379542395693136,0.8229166666666666,0.6779513888888888,,,,,,,,,,,,,0.7187263078089462,0.6379542395693136,0.8229166666666666,0.6779513888888888
inceptiontime,lump_binary,group,val,tips_middle,1,1,9,0.734375,0.6472457627118644,0.8486111111111111,0.6787790697674418,,,,,,,,,,,,,0.734375,0.6472457627118644,0.8486111111111111,0.6787790697674418
inceptiontime,lump_binary,group,val,tips_middle,1,2,9,0.6432906271072151,0.525909592061742,0.828125,0.5407986111111112,,,,,,,,,,,,,0.6432906271072151,0.525909592061742,0.828125,0.5407986111111112
inceptiontime,lump_binary,group,val,tips_middle,1,3,9,0.7735321528424977,0.8350100603621731,0.7204861111111112,0.7890625,,,,,,,,,,,,,0.7735321528424977,0.8350100603621731,0.7204861111111112,0.7890625
inceptiontime,lump_binary,group,val,tips_middle,1,4,9,0.7359635811836115,0.6536388140161725,0.8420138888888888,0.6979166666666666,,,,,,,,,,,,,0.7359635811836115,0.6536388140161725,0.8420138888888888,0.6979166666666666
inceptiontime,lump_binary,group,val,tips_middle,1,0,10,0.7303443794671864,0.6862026862026862,0.7805555555555556,0.701867816091954,,,,,,,,,,,,,0.7303443794671864,0.6862026862026862,0.7805555555555556,0.701867816091954
inceptiontime,lump_binary,group,val,tips_middle,1,1,10,0.7403846153846154,0.6875,0.8020833333333334,0.71875,,,,,,,,,,,,,0.7403846153846154,0.6875,0.8020833333333334,0.71875
inceptiontime,lump_binary,group,val,tips_middle,1,2,10,0.7580044676098288,0.6636245110821382,0.8836805555555556,0.7178819444444444,,,,,,,,,,,,,0.7580044676098288,0.6636245110821382,0.8836805555555556,0.7178819444444444
inceptiontime,lump_binary,group,val,tips_middle,1,3,10,0.7158671586715867,0.6225930680359435,0.8420138888888888,0.6657986111111112,,,,,,,,,,,,,0.7158671586715867,0.6225930680359435,0.8420138888888888,0.6657986111111112
inceptiontime,lump_binary,group,val,tips_middle,1,4,10,0.7136150234741784,0.6495726495726496,0.7916666666666666,0.6822916666666666,,,,,,,,,,,,,0.7136150234741784,0.6495726495726496,0.7916666666666666,0.6822916666666666
inceptiontime,lump_binary,group,val,tips_middle,1,0,11,0.7125557680050988,0.5629405840886204,0.9704861111111112,0.6085069444444444,,,,,,,,,,,,,0.7125557680050988,0.5629405840886204,0.9704861111111112,0.6085069444444444
inceptiontime,lump_binary,group,val,tips_middle,1,1,11,0.7163613392293114,0.657010428736964,0.7875,0.6811079545454546,,,,,,,,,,,,,0.7163613392293114,0.657010428736964,0.7875,0.6811079545454546
inceptiontime,lump_binary,group,val,tips_middle,1,2,11,0.7389830508474576,0.7218543046357616,0.7569444444444444,0.7326388888888888,,,,,,,,,,,,,0.7389830508474576,0.7218543046357616,0.7569444444444444,0.7326388888888888
