model,task,cv_type,eval_set,sensor_config,num_seconds,fold,doctor_trials,f1,precision,recall,accuracy,Lump_f1,Lump_precision,Lump_recall,Lump_acc,Size_f1,Size_precision,Size_recall,Size_acc,Position_f1,Position_precision,Position_recall,Position_acc,combined_f1,combined_precision,combined_recall,combined_accuracy
inceptiontime,multitask_all,plain,val,all,4,3,14,0.7805240061327291,0.7860732937464947,0.7779661399311338,0.8246484698097601,0.9132947976878613,0.9125412541254125,0.9140495867768595,0.913151364764268,0.7366380093186131,0.7451071037248658,0.7306684887539366,0.794044665012407,0.6916392113917129,0.700571523389206,0.6891803442626051,0.7667493796526055,0.7805240061327291,0.7860732937464947,0.7779661399311338,0.8246484698097601
inceptiontime,multitask_all,plain,val,all,4,4,14,0.7911352165159607,0.8003454595387973,0.7853037120532802,0.8356768679349326,0.9165275459098498,0.9242424242424242,0.9089403973509934,0.9172870140612076,0.7632733518874937,0.7715141087715416,0.7561251326444014,0.8172043010752689,0.6936047517505387,0.7052798456024263,0.6908456061644455,0.7725392886683209,0.7911352165159607,0.8003454595387973,0.7853037120532802,0.8356768679349326
inceptiontime,multitask_all,plain,val,all,4,0,15,0.7764164166722033,0.7890193080991788,0.7704792811460548,0.824793388429752,0.915,0.9226890756302522,0.9074380165289256,0.915702479338843,0.7318120407063342,0.7504334447617703,0.7259171249711167,0.7950413223140496,0.6824372093102755,0.6939354039055134,0.6780827019381221,0.7636363636363637,0.7764164166722033,0.7890193080991788,0.7704792811460548,0.824793388429752
inceptiontime,multitask_all,plain,val,all,4,1,15,0.7750214166932291,0.789058945600833,0.7634729232603927,0.8217630853994491,0.9029535864978903,0.9224137931034483,0.8842975206611571,0.9049586776859504,0.7635665853171674,0.7726227028448777,0.7557157183242,0.8148760330578513,0.6585440782646298,0.6721403408541731,0.6504055307958211,0.7454545454545455,0.7750214166932291,0.789058945600833,0.7634729232603927,0.8217630853994491
inceptiontime,multitask_all,plain,val,all,4,2,15,0.7867166286308785,0.7854375775438734,0.7897488480257242,0.8327823691460056,0.9243287225386493,0.9102564102564102,0.9388429752066115,0.9231404958677686,0.7417220916593916,0.7484110739741926,0.7376107685353392,0.8049586776859504,0.694099071694595,0.6976452484010175,0.6927928003352218,0.7702479338842976,0.7867166286308785,0.7854375775438734,0.7897488480257242,0.8327823691460056
inceptiontime,multitask_all,plain,val,all,4,3,15,0.7858336167220895,0.7962010422631199,0.7798396331669853,0.8296112489660876,0.9107589658048374,0.9191919191919192,0.9024793388429752,0.9114971050454922,0.7696282728367264,0.7833062062085964,0.7633024663326667,0.8196856906534326,0.6771136115247045,0.6861050013888442,0.673737094325314,0.7576509511993383,0.7858336167220895,0.7962010422631199,0.7798396331669853,0.8296112489660876
inceptiontime,multitask_all,plain,val,all,4,4,15,0.7786607673162146,0.7625618921835832,0.8017597755349909,0.8199614006065619,0.9156816390858944,0.8736842105263158,0.9619205298013245,0.9114971050454922,0.7428468006778206,0.7374717404123347,0.7568622135074704,0.7973531844499586,0.6774538621849289,0.6765297256120987,0.6864965832961778,0.7510339123242349,0.7786607673162146,0.7625618921835832,0.8017597755349909,0.8199614006065619
inceptiontime,multitask_all,group,val,all,3,0,0,0.4409341443701848,0.45028071652300755,0.44748263888888884,0.5543981481481481,0.6736292428198434,0.675392670157068,0.671875,0.6744791666666666,0.2849447150626273,0.30213397847633894,0.2951388888888889,0.4583333333333333,0.36422847522808377,0.3733155009356155,0.3754340277777778,0.5303819444444444,0.4409341443701848,0.45028071652300755,0.44748263888888884,0.5543981481481481
inceptiontime,multitask_all,group,doctors_test,all,3,0,0,0.24617105840525008,0.2267654536394116,0.31886574074074076,0.2314814814814815,0.5283018867924528,0.43171806167400884,0.6805555555555556,0.3923611111111111,0.12228313470566993,0.15859230484646689,0.13368055555555555,0.15625,0.0879281537176274,0.0899859943977591,0.1423611111111111,0.14583333333333334,0.24617105840525008,0.2267654536394116,0.31886574074074076,0.2314814814814815
inceptiontime,multitask_all,group,val,all,3,1,0,0.46168475411716425,0.4341911976606565,0.5102719907407408,0.4881365740740741,0.6884057971014492,0.5907960199004975,0.8246527777777778,0.6267361111111112,0.3539838677946095,0.35760964909857373,0.3585069444444444,0.4288194444444444,0.3426645974554341,0.3541679239828983,0.34765625,0.4088541666666667,0.46168475411716425,0.4341911976606565,0.5102719907407408,0.4881365740740741
inceptiontime,multitask_all,group,doctors_test,all,3,1,0,0.27862879016528574,0.206839089760921,0.4895833333333333,0.2708333333333333,0.6666666666666666,0.5,1.0,0.5,0.07014925373134329,0.040940766550522645,0.24479166666666666,0.16319444444444445,0.09907045009784736,0.07957650273224043,0.22395833333333334,0.14930555555555555,0.27862879016528574,0.206839089760921,0.4895833333333333,0.2708333333333333
