model,task,cv_type,fold,doctor_trials,f1,precision,recall,accuracy
inceptiontime,size_multiclass,plain,2,15,0.7885702448837622,0.790001508746735,0.7871726182116177,0.8289256198347107
inceptiontime,size_multiclass,plain,3,15,0.7896601628756466,0.7885144597923702,0.7925664527014133,0.8296112489660876
inceptiontime,size_multiclass,plain,4,15,0.7885218501893847,0.7932907594522497,0.7889349789795804,0.8312655086848635
inceptiontime,position_multiclass,group,0,0,0.3716309329203857,0.4047677596705421,0.3849826388888889,0.5581597222222222
inceptiontime,position_multiclass,group,1,0,0.36016227727722283,0.36477964478479147,0.3797743055555556,0.4383680555555556
inceptiontime,position_multiclass,group,2,0,0.35107609802959516,0.3835669173317609,0.35546875,0.5060763888888888
inceptiontime,position_multiclass,group,3,0,0.39056718982039873,0.4222681532544257,0.4019097222222222,0.5607638888888888
inceptiontime,position_multiclass,group,4,0,0.3819233940189695,0.4209411303119733,0.4001736111111111,0.4618055555555556
inceptiontime,position_multiclass,group,0,1,0.3985859267037668,0.40988639796653664,0.40451388888888884,0.4739583333333333
inceptiontime,position_multiclass,group,1,1,0.3377706480462427,0.3554846876715947,0.344285084322836,0.4385521885521885
inceptiontime,position_multiclass,group,2,1,0.40650345822759615,0.4476749662894458,0.42317708333333337,0.5651041666666666
inceptiontime,position_multiclass,group,3,1,0.328277204668741,0.33426507503056135,0.3342013888888889,0.4461805555555556
inceptiontime,position_multiclass,group,4,1,0.3642401074464531,0.3633239088491107,0.3654513888888889,0.4618055555555556
inceptiontime,position_multiclass,group,0,2,0.3900277760459905,0.4052215230361781,0.41666666666666663,0.5225694444444444
inceptiontime,position_multiclass,group,1,2,0.3955885955806767,0.4032222236210372,0.40865514693639693,0.5122549019607843
inceptiontime,position_multiclass,group,2,2,0.39672228555339883,0.39749883477749925,0.42925347222222227,0.4921875
inceptiontime,position_multiclass,group,3,2,0.3310541340048171,0.33501941354531956,0.3285590277777778,0.4383680555555556
inceptiontime,position_multiclass,group,4,2,0.3479323059811387,0.38343338565929347,0.3515625,0.4444444444444444
inceptiontime,position_multiclass,group,0,3,0.42939580863651006,0.4319501651824009,0.4366319444444444,0.5503472222222222
inceptiontime,position_multiclass,group,1,3,0.29311040909465047,0.3119797044664363,0.3009872399612966,0.3611111111111111
inceptiontime,position_multiclass,group,2,3,0.4104053902678401,0.41487798661074987,0.4162326388888889,0.5564236111111112
inceptiontime,position_multiclass,group,3,3,0.3084786053012623,0.30925142285744767,0.3103298611111111,0.4192708333333333
inceptiontime,position_multiclass,group,4,3,0.36194825851529155,0.3674603546304358,0.3589409722222222,0.4470486111111111
inceptiontime,position_multiclass,group,0,4,0.2599872125778465,0.27148241793093386,0.27285538394532294,0.36342592592592593
inceptiontime,position_multiclass,group,1,4,0.39846813510378587,0.40674014313510765,0.4136284722222222,0.5668402777777778
inceptiontime,position_multiclass,group,2,4,0.3066079859438674,0.31918840027864603,0.3181423611111111,0.4887152777777778
inceptiontime,position_multiclass,group,3,4,0.34599612873719326,0.37268287112898507,0.3524305555555556,0.4461805555555556
inceptiontime,position_multiclass,group,4,4,0.39320236554873034,0.40181023260100035,0.42838541666666663,0.4887152777777778
inceptiontime,position_multiclass,group,0,5,0.3540497122397718,0.36410236720210043,0.3596514004288395,0.4992378048780488
inceptiontime,position_multiclass,group,1,5,0.39648560097739916,0.42602143537070997,0.4105902777777778,0.5729166666666666
inceptiontime,position_multiclass,group,2,5,0.3879553526733325,0.4284389049753504,0.4105902777777778,0.4930555555555556
inceptiontime,position_multiclass,group,3,5,0.32628731784782583,0.32746796468560313,0.3315972222222222,0.4166666666666667
inceptiontime,position_multiclass,group,4,5,0.34376465797086597,0.3626179589990256,0.3546006944444445,0.3862847222222222
inceptiontime,position_multiclass,group,0,6,0.33699564473888904,0.3375608062973475,0.36634364111498263,0.48569277108433734
inceptiontime,position_multiclass,group,1,6,0.41100906168301854,0.4135694966260307,0.42708333333333337,0.5208333333333334
inceptiontime,position_multiclass,group,2,6,0.31964205385258015,0.32631521090427645,0.33420138888888884,0.4947916666666667
inceptiontime,position_multiclass,group,3,6,0.3900802332209838,0.4241815563956637,0.41536458333333337,0.5043402777777778
inceptiontime,position_multiclass,group,4,6,0.33421572717426484,0.34441826147568116,0.33333333333333337,0.4583333333333333
inceptiontime,position_multiclass,group,0,7,0.3773878470840425,0.38464499074737213,0.38992269163763066,0.47544642857142855
inceptiontime,position_multiclass,group,1,7,0.35795456626764893,0.380939257271414,0.3923611111111111,0.5208333333333334
inceptiontime,position_multiclass,group,2,7,0.3059787307884224,0.3149753364665871,0.3177083333333333,0.4461805555555556
inceptiontime,position_multiclass,group,3,7,0.38990065275111063,0.39740120231897613,0.3936631944444444,0.5060763888888888
inceptiontime,position_multiclass,group,4,7,0.34284847297853077,0.3439660894548346,0.3467881944444444,0.4574652777777778
inceptiontime,position_multiclass,group,0,8,0.35296232594608196,0.37573581252244725,0.36431112078977934,0.5264705882352941
inceptiontime,position_multiclass,group,1,8,0.3683362195185145,0.395041299625517,0.3797743055555556,0.5460069444444444
inceptiontime,position_multiclass,group,2,8,0.29415083598584374,0.29697853789403084,0.2986111111111111,0.4253472222222222
inceptiontime,position_multiclass,group,3,8,0.39220019619749125,0.39134639235608115,0.41015625,0.5095486111111112
inceptiontime,position_multiclass,group,4,8,0.345108018421666,0.34769201738018485,0.3511284722222222,0.3914930555555556
inceptiontime,position_multiclass,group,0,9,0.36433293504590336,0.3905846041919637,0.39235264227642275,0.5239825581395349
inceptiontime,position_multiclass,group,1,9,0.36875740068294094,0.3862683209647495,0.38802083333333337,0.4809027777777778
inceptiontime,position_multiclass,group,2,9,0.3099806578735641,0.31614618196546684,0.3155381944444444,0.4713541666666667
inceptiontime,position_multiclass,group,3,9,0.4215181186264143,0.42292196883378486,0.4292534722222222,0.5078125
inceptiontime,position_multiclass,group,4,9,0.38630661724947324,0.38827265673792133,0.3854166666666667,0.4826388888888889
inceptiontime,position_multiclass,group,0,10,0.35015063812245617,0.36758316108789724,0.3755208333333333,0.4885057471264368
inceptiontime,position_multiclass,group,1,10,0.378354363126137,0.37581200633446843,0.3984375,0.5329861111111112
inceptiontime,position_multiclass,group,2,10,0.377923682432613,0.37905623879955214,0.3806423611111111,0.4835069444444444
inceptiontime,position_multiclass,group,3,10,0.31092288243993677,0.3174263845009777,0.33463541666666663,0.4713541666666667
inceptiontime,position_multiclass,group,4,10,0.36006131800665153,0.3894614718051845,0.3602430555555556,0.4861111111111111
inceptiontime,position_multiclass,group,0,11,0.41898153003288496,0.4355256295256272,0.42317708333333337,0.5703125
